------;X-----;-M----;XM----;--P---;X-P---;-MP---;XMP---;---R--;X--R--;-M-R--;XM-R--;--PR--;X-PR--;-MPR--;XMPR--;----H-;X---H-;-M--H-;XM--H-;--P-H-;X-P-H-;-MP-H-;XMP-H-;---RH-;X--RH-;-M-RH-;XM-RH-;--PRH-;X-PRH-;-MPRH-;XMPRH-;-----L;X----L;-M---L;XM---L;--P--L;X-P--L;-MP--L;XMP--L;---R-L;X--R-L;-M-R-L;XM-R-L;--PR-L;X-PR-L;-MPR-L;XMPR-L;----HL;X---HL;-M--HL;XM--HL;--P-HL;X-P-HL;-MP-HL;XMP-HL;---RHL;X--RHL;-M-RHL;XM-RHL;--PRHL;X-PRHL;-MPRHL;XMPRHL
4224;4224;4224;4224;395.6;4224;4224;4224;4224;4224;4224;3706.2;4224;4224;4224;4224;4224;4224;4224;4224;1874.8;4224;4224;1884.9;4224;4224;4224;4224;4224;4224;4224;4224;4224;3891.2;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
3162.4;3162.4;4320;2475.5;3799.9;4320;4320;4320;3163.6;3163;4320;4320;4320;4320;4320;4320;2328.7;4320;4320;4320;4320;4320;1403.6;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;3619.5;4320;4320;4320;4320;4320
4224;4224;523.6;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;522.9;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1653.2;4224;4224;4224;4224;4224;4224;4224;4224;4224
4091;4272;1394.7;4272;2267;4272;4272;4272;1350.3;4272;1813.2;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;2929.7;2923.4;4272;4272;4272;3819;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272
3803;4320;4320;4320;4320;4320;3063.3;4320;4320;4320;4320;1547;4320;4320;4320;4320;4320;4320;4320;4320;3056.7;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;1547;4320;4320;4320;4320;4320;4320;4320;650.1;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320
4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;2235.6;4240
4288;4288;4288;1707.6;4288;4288;4288;4288;4288;1681.2;3865.8;4288;4288;4288;1461.4;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;2731.8;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;1678.8;4288
4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400;4400
4240;4240;4240;4240;4240;4240;4240;4240;4240;2043;2043.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;468.9;457;466.2;1896.1;4240;4240;4240;4240;4240;4240;1856.3;4240;4240;4240;4240;1899;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;257.1;4240;4240;4240;2091.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;223.5;235.4
3867.6;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;524.7;4304;514.8;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;1211.6;4304;4304;4304;4304;4304;3848.5;4304;4304;1211;4304;4304;4304;2125.9;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1416.7;1419.8;1397.8;1412.3;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
4368;4368;4368;4368;4368;4368;2473.6;4368;4368;3659;1355;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;1911.9;4368;4368;4368;4368;4368;4368;4368;4368;4368;1347.4;4368;4368;3659;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;2224.8;4368;4368;4368;4368;1686.1
4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;3067.6;4304;3249.7;1547;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304
4352;4352;1675;3847.8;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;2955;4352;2763.6;1587;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3033.1;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;4352;3365.3;4352;4352;4352;4352;4352
4336;4336;4336;4336;4336;2102.3;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;679.1;4336;673.9;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;4336;621.9;677.2;4074.4;4336;4336;4336;4336;4336;2963.8;4336;4336;4336;4336;4336;4336;4336;678.7;668.6
4240;3739.6;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;1891.7;4240;1905.4;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3163;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;3576.2;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240;4240
4304;4304;4304;4304;4304;1614.9;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;1339;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;1617.5;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;4304;2880.9;4304;4304;4304;4304;4304;4304;4304;4067.8;4304;4304;4304;4304;4304;4304;4304;4304;4304
4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1947;4224;4224;4224;4224;4224;4224;4224;4224;3246;4224;4224;4224;4224;4224;4224;4224;4224
4272;875;4272;4272;4272;4272;875;4272;4272;4272;4272;875;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;875;4272;4272;4272;4272;4272;4272;4272;4272;3882.7;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;2507.5;4272;4272;4272;4272;4272;4272;4272;4272;4272
4368;1403;1402.9;4368;4368;4368;4368;4368;4368;1691;4368;3722.4;4368;4368;4368;4368;4368;4368;4368;4368;4368;1688.7;1952.5;4368;4368;4368;4368;3723;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;2906.9;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368;4368
4272;4272;4272;1721.8;4272;4272;4272;4272;1721.8;1723;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;288.7;1717.3;480.7;478.8;4272;4272;4272;4272;4272;4272;449.3;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;465.2;4272
4224;4224;4224;4224;4224;4224;4224;4224;1899.6;4224;4224;4224;3079.9;4224;4224;3082.6;4224;4224;4224;4224;1886.1;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;1890.4;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224;4224
4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;3225.9;1251.9;4272;1241.4;3883;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;4272;3298.5;4272;3668.9;4272;4272;4272;4272;3193.9;4272;4272
3003;4320;4320;4320;4320;4320;4320;4320;4320;4320;1916.9;4320;4320;4320;4320;4320;4320;4320;3960.4;4320;280.9;258.6;264.3;553.8;4320;4320;1179;3802.9;4320;4320;567.1;4320;4320;4320;1179;4320;2767.8;4320;4320;4320;4320;4320;443;443;4320;4320;1723.6;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;4320;2537.4;4320
4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;3726.2;4384;3641.4;4384;4384;1213.8;3988.1;936.6;966.4;4384;4384;4384;4384;4384;4384;1269;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384;4384
4288;4288;4288;3547;4288;4288;4288;4288;4288;4288;2779;4288;4288;4288;4288;4288;4288;4288;4288;4288;2771.8;4288;2763.9;4288;4288;4288;3663.3;4288;4288;4288;4288;4288;4288;2778.4;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288;4288
